source,retrieved_at,ranking_scope,ranking_year,ranking,global_rank,name,country,sector,subject_area_code,data_period_start_year,data_period_end_year
scimago,2026-07-19T14:07:08+00:00,overall,2014,2402,4454,Chongqing Communication Institute,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2402,4454,Embry-Riddle Aeronautical University,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2402,4454,St. Petersburg State Electrotechnical University,RUS,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2405,4458,Universite de La Manouba,TUN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2405,4458,Zhengzhou Information Science and Technology Institute,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2407,4460,Southwest University for Nationalities,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2408,4461,Wuhan Polytechnic University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2409,4467,Tadeusz Kosciuszko Cracow University of Technology,POL,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2410,4469,Guilin University of Electronic Technology,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2411,4471,China West Normal University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2411,4471,Trakya University,TUR,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2411,4471,Universidade Federal de Mato Grosso do Sul,BRA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2414,4474,St. Petersburg State Polytechnic University,RUS,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2415,4476,Beijing Technology and Business University,CHN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2415,4476,Manhattan College,USA,Universities,0,2008.0,2012.0
